,country,time-period,GDP(mm-euro)
161,Bosnia and Herzegovina,2012-Q4,3438.4
162,Bosnia and Herzegovina,2013-Q1,3472.2
163,Bosnia and Herzegovina,2013-Q2,3492.0
164,Bosnia and Herzegovina,2013-Q3,3509.9
165,Bosnia and Herzegovina,2013-Q4,3540.8
166,Bosnia and Herzegovina,2014-Q1,3561.9
167,Bosnia and Herzegovina,2014-Q2,3489.4
168,Bosnia and Herzegovina,2014-Q3,3539.3
169,Bosnia and Herzegovina,2014-Q4,3596.3
170,Bosnia and Herzegovina,2015-Q1,3619.9
171,Bosnia and Herzegovina,2015-Q2,3649.6
172,Bosnia and Herzegovina,2015-Q3,3668.8
173,Bosnia and Herzegovina,2015-Q4,3683.1
174,Bosnia and Herzegovina,2016-Q1,3722.4
175,Bosnia and Herzegovina,2016-Q2,3746.9
176,Bosnia and Herzegovina,2016-Q3,3780.3
177,Bosnia and Herzegovina,2016-Q4,3828.7
178,Bosnia and Herzegovina,2017-Q1,3844.3
179,Bosnia and Herzegovina,2017-Q2,3874.1
180,Bosnia and Herzegovina,2017-Q3,3915.6
181,Bosnia and Herzegovina,2017-Q4,3928.7
182,Bosnia and Herzegovina,2018-Q1,3987.5
183,Bosnia and Herzegovina,2018-Q2,4016.8
184,Bosnia and Herzegovina,2018-Q3,4039.2
185,Bosnia and Herzegovina,2018-Q4,4086.2
186,Bosnia and Herzegovina,2019-Q1,4092.2
187,Bosnia and Herzegovina,2019-Q2,4141.3
188,Bosnia and Herzegovina,2019-Q3,4170.8
189,Bosnia and Herzegovina,2019-Q4,4191.8
190,Bosnia and Herzegovina,2020-Q1,4196.8
191,Bosnia and Herzegovina,2020-Q2,3836.1
192,Bosnia and Herzegovina,2020-Q3,4002.3
193,Bosnia and Herzegovina,2020-Q4,4095.3
194,Bosnia and Herzegovina,2021-Q1,4232.3
195,Bosnia and Herzegovina,2021-Q2,4282.7
196,Bosnia and Herzegovina,2021-Q3,4327.3
197,Bosnia and Herzegovina,2021-Q4,4403.5
198,Bosnia and Herzegovina,2022-Q1,4439.5
199,Belgium,1995-Q1,71086.0
200,Belgium,1995-Q2,71385.0
201,Belgium,1995-Q3,71813.0
202,Belgium,1995-Q4,71961.0
203,Belgium,1996-Q1,71816.0
204,Belgium,1996-Q2,72320.0
205,Belgium,1996-Q3,72653.0
206,Belgium,1996-Q4,73226.0
207,Belgium,1997-Q1,73960.0
208,Belgium,1997-Q2,75104.0
209,Belgium,1997-Q3,75766.0
210,Belgium,1997-Q4,76188.0
211,Belgium,1998-Q1,76386.0
212,Belgium,1998-Q2,76640.0
213,Belgium,1998-Q3,76864.0
214,Belgium,1998-Q4,77036.0
215,Belgium,1999-Q1,77841.0
216,Belgium,1999-Q2,78906.0
217,Belgium,1999-Q3,80052.0
218,Belgium,1999-Q4,81000.0
219,Belgium,2000-Q1,81576.0
220,Belgium,2000-Q2,82163.0
221,Belgium,2000-Q3,82544.0
222,Belgium,2000-Q4,83351.0
223,Belgium,2001-Q1,83398.0
224,Belgium,2001-Q2,83413.0
225,Belgium,2001-Q3,83254.0
226,Belgium,2001-Q4,83171.0
227,Belgium,2002-Q1,83886.0
228,Belgium,2002-Q2,84604.0
229,Belgium,2002-Q3,85057.0
230,Belgium,2002-Q4,85375.0
231,Belgium,2003-Q1,85150.0
232,Belgium,2003-Q2,85332.0
233,Belgium,2003-Q3,85681.0
234,Belgium,2003-Q4,86277.0
235,Belgium,2004-Q1,87570.0
236,Belgium,2004-Q2,88412.0
237,Belgium,2004-Q3,89183.0
238,Belgium,2004-Q4,89501.0
239,Belgium,2005-Q1,89972.0
240,Belgium,2005-Q2,90511.0
241,Belgium,2005-Q3,90869.0
242,Belgium,2005-Q4,91566.0
243,Belgium,2006-Q1,92129.0
244,Belgium,2006-Q2,92456.0
245,Belgium,2006-Q3,93270.0
246,Belgium,2006-Q4,94329.0
247,Belgium,2007-Q1,95666.0
248,Belgium,2007-Q2,96103.0
249,Belgium,2007-Q3,96845.0
250,Belgium,2007-Q4,97238.0
251,Belgium,2008-Q1,97658.0
252,Belgium,2008-Q2,97720.0
253,Belgium,2008-Q3,97149.0
254,Belgium,2008-Q4,95042.0
255,Belgium,2009-Q1,94117.0
256,Belgium,2009-Q2,94162.0
257,Belgium,2009-Q3,95352.0
258,Belgium,2009-Q4,96117.0
259,Belgium,2010-Q1,96615.0
260,Belgium,2010-Q2,97567.0
261,Belgium,2010-Q3,97974.0
262,Belgium,2010-Q4,98469.0
263,Belgium,2011-Q1,98943.0
264,Belgium,2011-Q2,99148.0
265,Belgium,2011-Q3,99432.0
266,Belgium,2011-Q4,99722.0
267,Belgium,2012-Q1,99936.0
268,Belgium,2012-Q2,99935.0
269,Belgium,2012-Q3,100178.0
270,Belgium,2012-Q4,100132.0
271,Belgium,2013-Q1,99857.0
272,Belgium,2013-Q2,100440.0
273,Belgium,2013-Q3,100751.0
274,Belgium,2013-Q4,100971.0
275,Belgium,2014-Q1,101405.0
276,Belgium,2014-Q2,101674.0
277,Belgium,2014-Q3,102376.0
278,Belgium,2014-Q4,102911.0
279,Belgium,2015-Q1,103446.0
280,Belgium,2015-Q2,104141.0
281,Belgium,2015-Q3,104340.0
282,Belgium,2015-Q4,104775.0
283,Belgium,2016-Q1,104835.0
284,Belgium,2016-Q2,105411.0
285,Belgium,2016-Q3,105596.0
286,Belgium,2016-Q4,106138.0
287,Belgium,2017-Q1,106830.0
288,Belgium,2017-Q2,107088.0
289,Belgium,2017-Q3,107019.0
290,Belgium,2017-Q4,107877.0
291,Belgium,2018-Q1,108326.0
292,Belgium,2018-Q2,108833.0
293,Belgium,2018-Q3,109254.0
294,Belgium,2018-Q4,110307.0
295,Belgium,2019-Q1,110577.0
296,Belgium,2019-Q2,111054.0
297,Belgium,2019-Q3,111798.0
298,Belgium,2019-Q4,112513.0
299,Belgium,2020-Q1,108966.0
300,Belgium,2020-Q2,96287.0
301,Belgium,2020-Q3,107740.0
302,Belgium,2020-Q4,107616.0
303,Belgium,2021-Q1,109033.0
304,Belgium,2021-Q2,110899.0
305,Belgium,2021-Q3,113230.0
306,Belgium,2021-Q4,113713.0
307,Belgium,2022-Q1,114326.0
308,Bulgaria,1995-Q1,6633.3
309,Bulgaria,1995-Q2,7414.8
310,Bulgaria,1995-Q3,7451.5
311,Bulgaria,1995-Q4,8111.6
312,Bulgaria,1996-Q1,8203.5
313,Bulgaria,1996-Q2,8111.6
314,Bulgaria,1996-Q3,7720.5
315,Bulgaria,1996-Q4,7558.1
316,Bulgaria,1997-Q1,6792.3
317,Bulgaria,1997-Q2,6720.8
318,Bulgaria,1997-Q3,6870.9
319,Bulgaria,1997-Q4,6640.2
320,Bulgaria,1998-Q1,7416.8
321,Bulgaria,1998-Q2,6932.3
322,Bulgaria,1998-Q3,6986.0
323,Bulgaria,1998-Q4,6882.4
324,Bulgaria,1999-Q1,6722.4
325,Bulgaria,1999-Q2,6544.8
326,Bulgaria,1999-Q3,6489.9
327,Bulgaria,1999-Q4,6136.9
328,Bulgaria,2000-Q1,6756.1
329,Bulgaria,2000-Q2,6818.2
330,Bulgaria,2000-Q3,6874.8
331,Bulgaria,2000-Q4,6936.9
332,Bulgaria,2001-Q1,6991.9
333,Bulgaria,2001-Q2,7060.1
334,Bulgaria,2001-Q3,7152.8
335,Bulgaria,2001-Q4,7247.8
336,Bulgaria,2002-Q1,7361.7
337,Bulgaria,2002-Q2,7475.9
338,Bulgaria,2002-Q3,7587.0
339,Bulgaria,2002-Q4,7664.5
340,Bulgaria,2003-Q1,7772.7
341,Bulgaria,2003-Q2,7849.7
342,Bulgaria,2003-Q3,7942.7
343,Bulgaria,2003-Q4,8102.6
344,Bulgaria,2004-Q1,8202.8
345,Bulgaria,2004-Q2,8363.7
346,Bulgaria,2004-Q3,8538.0
347,Bulgaria,2004-Q4,8657.0
348,Bulgaria,2005-Q1,8838.3
349,Bulgaria,2005-Q2,8962.1
350,Bulgaria,2005-Q3,9079.3
351,Bulgaria,2005-Q4,9229.5
352,Bulgaria,2006-Q1,9373.5
353,Bulgaria,2006-Q2,9536.4
354,Bulgaria,2006-Q3,9737.5
355,Bulgaria,2006-Q4,9899.2
356,Bulgaria,2007-Q1,10037.7
357,Bulgaria,2007-Q2,10231.4
358,Bulgaria,2007-Q3,10360.7
359,Bulgaria,2007-Q4,10579.9
360,Bulgaria,2008-Q1,10755.7
361,Bulgaria,2008-Q2,10881.6
362,Bulgaria,2008-Q3,11003.3
363,Bulgaria,2008-Q4,11052.3
364,Bulgaria,2009-Q1,10580.5
365,Bulgaria,2009-Q2,10585.2
366,Bulgaria,2009-Q3,10675.6
367,Bulgaria,2009-Q4,10358.0
368,Bulgaria,2010-Q1,10501.2
369,Bulgaria,2010-Q2,10673.3
370,Bulgaria,2010-Q3,10753.8
371,Bulgaria,2010-Q4,10861.9
372,Bulgaria,2011-Q1,10867.2
373,Bulgaria,2011-Q2,10973.8
374,Bulgaria,2011-Q3,10984.1
375,Bulgaria,2011-Q4,10973.1
376,Bulgaria,2012-Q1,11046.9
377,Bulgaria,2012-Q2,11018.6
378,Bulgaria,2012-Q3,10992.7
379,Bulgaria,2012-Q4,10958.8
380,Bulgaria,2013-Q1,10928.1
381,Bulgaria,2013-Q2,10907.1
382,Bulgaria,2013-Q3,10951.6
383,Bulgaria,2013-Q4,10968.2
384,Bulgaria,2014-Q1,10963.4
385,Bulgaria,2014-Q2,11033.7
386,Bulgaria,2014-Q3,11077.3
387,Bulgaria,2014-Q4,11177.1
388,Bulgaria,2015-Q1,11290.4
389,Bulgaria,2015-Q2,11371.5
390,Bulgaria,2015-Q3,11496.1
391,Bulgaria,2015-Q4,11569.7
392,Bulgaria,2016-Q1,11660.3
393,Bulgaria,2016-Q2,11748.8
394,Bulgaria,2016-Q3,11805.9
395,Bulgaria,2016-Q4,11918.1
396,Bulgaria,2017-Q1,11989.0
397,Bulgaria,2017-Q2,12072.1
398,Bulgaria,2017-Q3,12154.7
399,Bulgaria,2017-Q4,12230.1
400,Bulgaria,2018-Q1,12285.6
401,Bulgaria,2018-Q2,12392.3
402,Bulgaria,2018-Q3,12518.9
403,Bulgaria,2018-Q4,12627.6
404,Bulgaria,2019-Q1,12834.3
405,Bulgaria,2019-Q2,12927.6
406,Bulgaria,2019-Q3,12897.5
407,Bulgaria,2019-Q4,12978.0
408,Bulgaria,2020-Q1,12898.0
409,Bulgaria,2020-Q2,11898.4
410,Bulgaria,2020-Q3,12315.8
411,Bulgaria,2020-Q4,12480.8
412,Bulgaria,2021-Q1,12709.7
413,Bulgaria,2021-Q2,12823.2
414,Bulgaria,2021-Q3,12944.1
415,Bulgaria,2021-Q4,13107.8
416,Bulgaria,2022-Q1,13217.4
417,Switzerland,1980-Q1,84719.4
418,Switzerland,1980-Q2,85023.4
419,Switzerland,1980-Q3,85414.2
420,Switzerland,1980-Q4,85941.1
421,Switzerland,1981-Q1,85848.5
422,Switzerland,1981-Q2,86739.7
423,Switzerland,1981-Q3,87188.7
424,Switzerland,1981-Q4,86808.0
425,Switzerland,1982-Q1,86161.7
426,Switzerland,1982-Q2,85667.1
427,Switzerland,1982-Q3,85013.1
428,Switzerland,1982-Q4,84757.6
429,Switzerland,1983-Q1,85502.3
430,Switzerland,1983-Q2,85661.9
431,Switzerland,1983-Q3,86035.0
432,Switzerland,1983-Q4,86336.0
433,Switzerland,1984-Q1,87367.4
434,Switzerland,1984-Q2,87802.2
435,Switzerland,1984-Q3,89339.6
436,Switzerland,1984-Q4,90064.3
437,Switzerland,1985-Q1,91122.4
438,Switzerland,1985-Q2,91901.5
439,Switzerland,1985-Q3,92030.1
440,Switzerland,1985-Q4,92870.5
441,Switzerland,1986-Q1,93366.6
442,Switzerland,1986-Q2,93815.3
443,Switzerland,1986-Q3,93732.4
444,Switzerland,1986-Q4,93610.3
445,Switzerland,1987-Q1,93774.3
446,Switzerland,1987-Q2,94481.9
447,Switzerland,1987-Q3,95671.9
448,Switzerland,1987-Q4,96420.8
449,Switzerland,1988-Q1,96661.6
450,Switzerland,1988-Q2,97267.1
451,Switzerland,1988-Q3,98372.8
452,Switzerland,1988-Q4,100094.4
453,Switzerland,1989-Q1,100412.5
454,Switzerland,1989-Q2,102229.6
455,Switzerland,1989-Q3,102960.7
456,Switzerland,1989-Q4,104319.5
457,Switzerland,1990-Q1,106112.4
458,Switzerland,1990-Q2,106731.5
459,Switzerland,1990-Q3,106341.4
460,Switzerland,1990-Q4,105881.8
461,Switzerland,1991-Q1,106036.4
462,Switzerland,1991-Q2,105023.1
463,Switzerland,1991-Q3,105023.2
464,Switzerland,1991-Q4,105396.0
465,Switzerland,1992-Q1,106191.7
466,Switzerland,1992-Q2,105768.1
467,Switzerland,1992-Q3,104691.2
468,Switzerland,1992-Q4,103889.7
469,Switzerland,1993-Q1,103728.5
470,Switzerland,1993-Q2,104875.0
471,Switzerland,1993-Q3,105247.3
472,Switzerland,1993-Q4,105873.7
473,Switzerland,1994-Q1,106399.1
474,Switzerland,1994-Q2,105297.4
475,Switzerland,1994-Q3,106428.7
476,Switzerland,1994-Q4,106956.3
477,Switzerland,1995-Q1,106528.4
478,Switzerland,1995-Q2,106615.0
479,Switzerland,1995-Q3,107160.3
480,Switzerland,1995-Q4,107185.8
481,Switzerland,1996-Q1,107781.9
482,Switzerland,1996-Q2,107364.9
483,Switzerland,1996-Q3,107053.2
484,Switzerland,1996-Q4,107689.6
485,Switzerland,1997-Q1,108594.8
486,Switzerland,1997-Q2,109148.4
487,Switzerland,1997-Q3,110486.6
488,Switzerland,1997-Q4,111259.0
489,Switzerland,1998-Q1,112405.4
490,Switzerland,1998-Q2,113519.1
491,Switzerland,1998-Q3,113625.1
492,Switzerland,1998-Q4,113278.9
493,Switzerland,1999-Q1,113523.2
494,Switzerland,1999-Q2,114274.2
495,Switzerland,1999-Q3,114925.0
496,Switzerland,1999-Q4,117731.5
497,Switzerland,2000-Q1,118662.9
498,Switzerland,2000-Q2,119143.4
499,Switzerland,2000-Q3,120044.2
500,Switzerland,2000-Q4,121330.4
501,Switzerland,2001-Q1,121418.1
502,Switzerland,2001-Q2,122074.3
503,Switzerland,2001-Q3,121854.6
504,Switzerland,2001-Q4,121708.0
505,Switzerland,2002-Q1,121622.4
506,Switzerland,2002-Q2,121860.8
507,Switzerland,2002-Q3,122147.4
508,Switzerland,2002-Q4,121573.7
509,Switzerland,2003-Q1,120666.1
510,Switzerland,2003-Q2,120764.0
511,Switzerland,2003-Q3,121960.1
512,Switzerland,2003-Q4,123431.5
513,Switzerland,2004-Q1,124137.1
514,Switzerland,2004-Q2,125062.4
515,Switzerland,2004-Q3,125119.9
516,Switzerland,2004-Q4,125333.3
517,Switzerland,2005-Q1,126297.2
518,Switzerland,2005-Q2,127820.8
519,Switzerland,2005-Q3,129271.9
520,Switzerland,2005-Q4,130496.8
521,Switzerland,2006-Q1,131954.5
522,Switzerland,2006-Q2,133072.9
523,Switzerland,2006-Q3,134194.6
524,Switzerland,2006-Q4,135943.4
525,Switzerland,2007-Q1,136722.0
526,Switzerland,2007-Q2,138694.7
527,Switzerland,2007-Q3,139986.2
528,Switzerland,2007-Q4,141493.6
529,Switzerland,2008-Q1,142704.4
530,Switzerland,2008-Q2,143984.7
531,Switzerland,2008-Q3,144525.5
532,Switzerland,2008-Q4,140460.4
533,Switzerland,2009-Q1,138265.0
534,Switzerland,2009-Q2,139105.6
535,Switzerland,2009-Q3,140697.3
536,Switzerland,2009-Q4,141880.2
537,Switzerland,2010-Q1,142884.5
538,Switzerland,2010-Q2,144066.4
539,Switzerland,2010-Q3,144912.7
540,Switzerland,2010-Q4,146019.7
541,Switzerland,2011-Q1,146957.5
542,Switzerland,2011-Q2,147646.4
543,Switzerland,2011-Q3,147089.9
544,Switzerland,2011-Q4,147256.3
545,Switzerland,2012-Q1,148782.3
546,Switzerland,2012-Q2,148695.4
547,Switzerland,2012-Q3,149736.0
548,Switzerland,2012-Q4,149600.6
549,Switzerland,2013-Q1,150245.0
550,Switzerland,2013-Q2,151590.9
551,Switzerland,2013-Q3,152759.8
552,Switzerland,2013-Q4,153271.0
553,Switzerland,2014-Q1,154231.7
554,Switzerland,2014-Q2,155275.0
555,Switzerland,2014-Q3,156130.4
556,Switzerland,2014-Q4,156958.6
557,Switzerland,2015-Q1,156691.8
558,Switzerland,2015-Q2,157815.8
559,Switzerland,2015-Q3,158815.3
560,Switzerland,2015-Q4,159468.2
561,Switzerland,2016-Q1,160137.9
562,Switzerland,2016-Q2,160972.5
563,Switzerland,2016-Q3,161845.5
564,Switzerland,2016-Q4,162407.2
565,Switzerland,2017-Q1,162675.1
566,Switzerland,2017-Q2,163170.0
567,Switzerland,2017-Q3,164193.3
568,Switzerland,2017-Q4,165991.9
569,Switzerland,2018-Q1,167760.8
570,Switzerland,2018-Q2,169312.5
571,Switzerland,2018-Q3,168923.4
572,Switzerland,2018-Q4,169319.1
573,Switzerland,2019-Q1,169754.2
574,Switzerland,2019-Q2,170454.0
575,Switzerland,2019-Q3,171331.7
576,Switzerland,2019-Q4,172165.4
577,Switzerland,2020-Q1,169433.4
578,Switzerland,2020-Q2,159035.8
579,Switzerland,2020-Q3,169049.2
580,Switzerland,2020-Q4,169114.9
581,Switzerland,2021-Q1,168713.4
582,Switzerland,2021-Q2,172043.7
583,Switzerland,2021-Q3,175262.3
584,Switzerland,2021-Q4,175538.6
585,Switzerland,2022-Q1,176375.3
586,Cyprus,1995-Q1,2835.7
587,Cyprus,1995-Q2,2865.3
588,Cyprus,1995-Q3,2866.9
589,Cyprus,1995-Q4,2843.6
590,Cyprus,1996-Q1,2901.6
591,Cyprus,1996-Q2,2877.2
592,Cyprus,1996-Q3,2875.8
593,Cyprus,1996-Q4,2899.1
594,Cyprus,1997-Q1,2920.9
595,Cyprus,1997-Q2,2936.9
596,Cyprus,1997-Q3,2982.4
597,Cyprus,1997-Q4,3018.7
598,Cyprus,1998-Q1,3079.7
599,Cyprus,1998-Q2,3113.8
600,Cyprus,1998-Q3,3177.9
601,Cyprus,1998-Q4,3212.2
602,Cyprus,1999-Q1,3224.5
603,Cyprus,1999-Q2,3265.1
604,Cyprus,1999-Q3,3326.0
605,Cyprus,1999-Q4,3396.9
606,Cyprus,2000-Q1,3451.3
607,Cyprus,2000-Q2,3573.8
608,Cyprus,2000-Q3,3466.7
609,Cyprus,2000-Q4,3508.9
610,Cyprus,2001-Q1,3556.1
611,Cyprus,2001-Q2,3621.7
612,Cyprus,2001-Q3,3687.9
613,Cyprus,2001-Q4,3688.3
614,Cyprus,2002-Q1,3721.8
615,Cyprus,2002-Q2,3779.2
616,Cyprus,2002-Q3,3751.3
617,Cyprus,2002-Q4,3843.6
618,Cyprus,2003-Q1,3829.7
619,Cyprus,2003-Q2,3817.5
620,Cyprus,2003-Q3,3897.6
621,Cyprus,2003-Q4,3947.2
622,Cyprus,2004-Q1,4003.6
623,Cyprus,2004-Q2,4031.0
624,Cyprus,2004-Q3,4091.2
625,Cyprus,2004-Q4,4144.8
626,Cyprus,2005-Q1,4203.5
627,Cyprus,2005-Q2,4223.6
628,Cyprus,2005-Q3,4292.2
629,Cyprus,2005-Q4,4340.9
630,Cyprus,2006-Q1,4388.6
631,Cyprus,2006-Q2,4453.1
632,Cyprus,2006-Q3,4477.3
633,Cyprus,2006-Q4,4545.4
634,Cyprus,2007-Q1,4627.6
635,Cyprus,2007-Q2,4652.3
636,Cyprus,2007-Q3,4706.6
637,Cyprus,2007-Q4,4788.4
638,Cyprus,2008-Q1,4856.6
639,Cyprus,2008-Q2,4879.9
640,Cyprus,2008-Q3,4877.8
641,Cyprus,2008-Q4,4845.6
642,Cyprus,2009-Q1,4778.5
643,Cyprus,2009-Q2,4757.7
644,Cyprus,2009-Q3,4750.7
645,Cyprus,2009-Q4,4780.7
646,Cyprus,2010-Q1,4834.1
647,Cyprus,2010-Q2,4834.4
648,Cyprus,2010-Q3,4883.2
649,Cyprus,2010-Q4,4900.0
650,Cyprus,2011-Q1,4913.0
651,Cyprus,2011-Q2,4930.9
652,Cyprus,2011-Q3,4834.6
653,Cyprus,2011-Q4,4851.3
654,Cyprus,2012-Q1,4831.0
655,Cyprus,2012-Q2,4743.6
656,Cyprus,2012-Q3,4687.0
657,Cyprus,2012-Q4,4595.1
658,Cyprus,2013-Q1,4490.4
659,Cyprus,2013-Q2,4381.7
660,Cyprus,2013-Q3,4384.0
661,Cyprus,2013-Q4,4364.7
662,Cyprus,2014-Q1,4347.2
663,Cyprus,2014-Q2,4315.4
664,Cyprus,2014-Q3,4310.1
665,Cyprus,2014-Q4,4326.0
666,Cyprus,2015-Q1,4398.7
667,Cyprus,2015-Q2,4436.1
668,Cyprus,2015-Q3,4484.7
669,Cyprus,2015-Q4,4564.1
670,Cyprus,2016-Q1,4684.7
671,Cyprus,2016-Q2,4708.7
672,Cyprus,2016-Q3,4760.8
673,Cyprus,2016-Q4,4884.0
674,Cyprus,2017-Q1,4975.3
675,Cyprus,2017-Q2,4997.5
676,Cyprus,2017-Q3,5041.3
677,Cyprus,2017-Q4,5138.1
