,country,time-period,sector,energy-type,value(KTOE)
93,Denmark,2011,households,Solid fossil fuels,0.437
94,Denmark,2012,households,Solid fossil fuels,0.437
95,Denmark,2013,households,Solid fossil fuels,0.437
96,Denmark,2014,households,Solid fossil fuels,0.0
97,Denmark,2015,households,Solid fossil fuels,0.0
98,Denmark,2016,households,Solid fossil fuels,0.02
99,Denmark,2017,households,Solid fossil fuels,0.0
100,Denmark,2018,households,Solid fossil fuels,0.0
101,Denmark,2019,households,Solid fossil fuels,0.0
102,Denmark,2020,households,Solid fossil fuels,0.0
103,Estonia,2009,households,Solid fossil fuels,4.541
104,Estonia,2010,households,Solid fossil fuels,5.19
105,Estonia,2011,households,Solid fossil fuels,6.508
106,Estonia,2012,households,Solid fossil fuels,5.857
107,Estonia,2013,households,Solid fossil fuels,5.836
108,Estonia,2014,households,Solid fossil fuels,4.54
109,Estonia,2015,households,Solid fossil fuels,2.594
110,Estonia,2016,households,Solid fossil fuels,1.945
111,Estonia,2017,households,Solid fossil fuels,2.102
112,Estonia,2018,households,Solid fossil fuels,1.051
113,Estonia,2019,households,Solid fossil fuels,1.191
114,Estonia,2020,households,Solid fossil fuels,0.959
115,Greece,2009,households,Solid fossil fuels,3.627
116,Greece,2010,households,Solid fossil fuels,3.365
117,Greece,2011,households,Solid fossil fuels,4.477
118,Greece,2012,households,Solid fossil fuels,0.383
119,Greece,2013,households,Solid fossil fuels,0.873
120,Greece,2014,households,Solid fossil fuels,2.888
121,Greece,2015,households,Solid fossil fuels,4.663
122,Greece,2016,households,Solid fossil fuels,1.947
123,Greece,2017,households,Solid fossil fuels,4.424
124,Greece,2018,households,Solid fossil fuels,3.595
125,Greece,2019,households,Solid fossil fuels,3.408
126,Greece,2020,households,Solid fossil fuels,3.071
127,Spain,2009,households,Solid fossil fuels,192.14
128,Spain,2010,households,Solid fossil fuels,172.966
129,Spain,2011,households,Solid fossil fuels,121.95
130,Spain,2012,households,Solid fossil fuels,109.547
131,Spain,2013,households,Solid fossil fuels,94.789
132,Spain,2014,households,Solid fossil fuels,91.848
133,Spain,2015,households,Solid fossil fuels,88.588
134,Spain,2016,households,Solid fossil fuels,79.063
135,Spain,2017,households,Solid fossil fuels,79.322
136,Spain,2018,households,Solid fossil fuels,68.353
137,Spain,2019,households,Solid fossil fuels,64.93
138,Spain,2020,households,Solid fossil fuels,46.408
139,Finland,2009,households,Solid fossil fuels,0.602
140,Finland,2010,households,Solid fossil fuels,0.6
141,Finland,2011,households,Solid fossil fuels,0.595
142,Finland,2012,households,Solid fossil fuels,0.589
143,Finland,2013,households,Solid fossil fuels,0.594
144,Finland,2014,households,Solid fossil fuels,0.592
145,Finland,2015,households,Solid fossil fuels,0.0
146,Finland,2016,households,Solid fossil fuels,0.0
147,Finland,2017,households,Solid fossil fuels,0.0
148,Finland,2018,households,Solid fossil fuels,0.0
149,Finland,2019,households,Solid fossil fuels,0.0
150,Finland,2020,households,Solid fossil fuels,0.0
151,France,2009,households,Solid fossil fuels,201.49
152,France,2010,households,Solid fossil fuels,226.044
153,France,2011,households,Solid fossil fuels,40.52
154,France,2012,households,Solid fossil fuels,45.137
155,France,2013,households,Solid fossil fuels,47.428
156,France,2014,households,Solid fossil fuels,35.139
157,France,2015,households,Solid fossil fuels,36.374
158,France,2016,households,Solid fossil fuels,37.776
159,France,2017,households,Solid fossil fuels,35.595
160,France,2018,households,Solid fossil fuels,26.356
161,France,2019,households,Solid fossil fuels,24.452
162,France,2020,households,Solid fossil fuels,20.759
163,Georgia,2013,households,Solid fossil fuels,0.416
164,Georgia,2014,households,Solid fossil fuels,0.406
165,Georgia,2015,households,Solid fossil fuels,0.406
166,Georgia,2016,households,Solid fossil fuels,0.812
167,Georgia,2017,households,Solid fossil fuels,0.538
168,Georgia,2018,households,Solid fossil fuels,0.197
169,Georgia,2019,households,Solid fossil fuels,0.224
170,Georgia,2020,households,Solid fossil fuels,0.062
171,Croatia,2009,households,Solid fossil fuels,3.112
172,Croatia,2010,households,Solid fossil fuels,5.951
173,Croatia,2011,households,Solid fossil fuels,4.32
174,Croatia,2012,households,Solid fossil fuels,3.681
175,Croatia,2013,households,Solid fossil fuels,4.777
176,Croatia,2014,households,Solid fossil fuels,3.407
177,Croatia,2015,households,Solid fossil fuels,3.052
178,Croatia,2016,households,Solid fossil fuels,2.823
179,Croatia,2017,households,Solid fossil fuels,3.635
180,Croatia,2018,households,Solid fossil fuels,2.573
181,Croatia,2019,households,Solid fossil fuels,2.777
182,Croatia,2020,households,Solid fossil fuels,2.392
183,Hungary,2009,households,Solid fossil fuels,141.463
184,Hungary,2010,households,Solid fossil fuels,148.796
185,Hungary,2011,households,Solid fossil fuels,171.98
186,Hungary,2012,households,Solid fossil fuels,152.099
187,Hungary,2013,households,Solid fossil fuels,133.497
188,Hungary,2014,households,Solid fossil fuels,102.428
189,Hungary,2015,households,Solid fossil fuels,94.677
190,Hungary,2016,households,Solid fossil fuels,120.56
191,Hungary,2017,households,Solid fossil fuels,141.646
192,Hungary,2018,households,Solid fossil fuels,95.18
193,Hungary,2019,households,Solid fossil fuels,70.569
194,Hungary,2020,households,Solid fossil fuels,56.342
195,Ireland,2009,households,Solid fossil fuels,244.021
196,Ireland,2010,households,Solid fossil fuels,229.475
197,Ireland,2011,households,Solid fossil fuels,199.529
198,Ireland,2012,households,Solid fossil fuels,224.898
199,Ireland,2013,households,Solid fossil fuels,244.278
200,Ireland,2014,households,Solid fossil fuels,217.479
201,Ireland,2015,households,Solid fossil fuels,233.545
202,Ireland,2016,households,Solid fossil fuels,242.085
203,Ireland,2017,households,Solid fossil fuels,177.731
204,Ireland,2018,households,Solid fossil fuels,191.264
205,Ireland,2019,households,Solid fossil fuels,165.567
206,Ireland,2020,households,Solid fossil fuels,171.781
207,Iceland,2009,households,Solid fossil fuels,0.0
208,Iceland,2010,households,Solid fossil fuels,0.0
209,Iceland,2011,households,Solid fossil fuels,0.0
210,Iceland,2012,households,Solid fossil fuels,0.0
211,Iceland,2013,households,Solid fossil fuels,0.0
212,Iceland,2014,households,Solid fossil fuels,0.0
213,Iceland,2015,households,Solid fossil fuels,0.0
214,Iceland,2016,households,Solid fossil fuels,0.0
215,Iceland,2017,households,Solid fossil fuels,0.0
216,Iceland,2018,households,Solid fossil fuels,0.0
217,Iceland,2019,households,Solid fossil fuels,0.0
218,Iceland,2020,households,Solid fossil fuels,0.0
219,Italy,2009,households,Solid fossil fuels,3.665
220,Italy,2010,households,Solid fossil fuels,3.626
221,Italy,2011,households,Solid fossil fuels,3.62
222,Italy,2012,households,Solid fossil fuels,2.42
223,Italy,2013,households,Solid fossil fuels,0.0
224,Italy,2014,households,Solid fossil fuels,0.0
225,Italy,2015,households,Solid fossil fuels,0.0
226,Italy,2016,households,Solid fossil fuels,0.0
227,Italy,2017,households,Solid fossil fuels,0.0
228,Italy,2018,households,Solid fossil fuels,0.0
229,Italy,2019,households,Solid fossil fuels,0.0
230,Italy,2020,households,Solid fossil fuels,0.0
231,Lithuania,2009,households,Solid fossil fuels,35.342
232,Lithuania,2010,households,Solid fossil fuels,49.849
233,Lithuania,2011,households,Solid fossil fuels,50.506
234,Lithuania,2012,households,Solid fossil fuels,47.249
235,Lithuania,2013,households,Solid fossil fuels,50.033
236,Lithuania,2014,households,Solid fossil fuels,42.541
237,Lithuania,2015,households,Solid fossil fuels,34.799
238,Lithuania,2016,households,Solid fossil fuels,36.541
239,Lithuania,2017,households,Solid fossil fuels,41.801
240,Lithuania,2018,households,Solid fossil fuels,41.399
241,Lithuania,2019,households,Solid fossil fuels,31.679
242,Lithuania,2020,households,Solid fossil fuels,24.659
243,Luxembourg,2009,households,Solid fossil fuels,0.519
244,Luxembourg,2010,households,Solid fossil fuels,0.605
245,Luxembourg,2011,households,Solid fossil fuels,0.544
246,Luxembourg,2012,households,Solid fossil fuels,0.448
247,Luxembourg,2013,households,Solid fossil fuels,0.635
248,Luxembourg,2014,households,Solid fossil fuels,0.498
249,Luxembourg,2015,households,Solid fossil fuels,0.616
250,Luxembourg,2016,households,Solid fossil fuels,0.587
251,Luxembourg,2017,households,Solid fossil fuels,0.381
252,Luxembourg,2018,households,Solid fossil fuels,0.237
253,Luxembourg,2019,households,Solid fossil fuels,0.249
254,Luxembourg,2020,households,Solid fossil fuels,0.266
255,Latvia,2009,households,Solid fossil fuels,19.414
256,Latvia,2010,households,Solid fossil fuels,25.05
257,Latvia,2011,households,Solid fossil fuels,22.545
258,Latvia,2012,households,Solid fossil fuels,13.778
259,Latvia,2013,households,Solid fossil fuels,12.643
260,Latvia,2014,households,Solid fossil fuels,12.696
261,Latvia,2015,households,Solid fossil fuels,11.993
262,Latvia,2016,households,Solid fossil fuels,11.897
263,Latvia,2017,households,Solid fossil fuels,9.79
264,Latvia,2018,households,Solid fossil fuels,6.592
265,Latvia,2019,households,Solid fossil fuels,4.655
266,Latvia,2020,households,Solid fossil fuels,1.305
267,Moldova,2010,households,Solid fossil fuels,50.312
268,Moldova,2011,households,Solid fossil fuels,43.78
269,Moldova,2012,households,Solid fossil fuels,54.242
270,Moldova,2013,households,Solid fossil fuels,57.928
271,Moldova,2014,households,Solid fossil fuels,40.18
272,Moldova,2015,households,Solid fossil fuels,38.693
273,Moldova,2016,households,Solid fossil fuels,28.989
274,Moldova,2017,households,Solid fossil fuels,52.604
275,Moldova,2018,households,Solid fossil fuels,36.42
276,Moldova,2019,households,Solid fossil fuels,60.492
277,Moldova,2020,households,Solid fossil fuels,42.19
278,Montenegro,2009,households,Solid fossil fuels,4.839
279,Montenegro,2010,households,Solid fossil fuels,5.499
280,Montenegro,2011,households,Solid fossil fuels,3.08
281,Montenegro,2012,households,Solid fossil fuels,3.08
282,Montenegro,2013,households,Solid fossil fuels,2.42
283,Montenegro,2014,households,Solid fossil fuels,2.86
284,Montenegro,2015,households,Solid fossil fuels,3.3
285,Montenegro,2016,households,Solid fossil fuels,4.53
286,Montenegro,2017,households,Solid fossil fuels,2.317
287,Montenegro,2018,households,Solid fossil fuels,2.085
288,Montenegro,2019,households,Solid fossil fuels,2.145
289,Montenegro,2020,households,Solid fossil fuels,2.043
290,North Macedonia,2009,households,Solid fossil fuels,2.074
291,North Macedonia,2010,households,Solid fossil fuels,2.104
292,North Macedonia,2011,households,Solid fossil fuels,1.3
293,North Macedonia,2012,households,Solid fossil fuels,1.558
294,North Macedonia,2013,households,Solid fossil fuels,1.148
295,North Macedonia,2014,households,Solid fossil fuels,0.798
296,North Macedonia,2015,households,Solid fossil fuels,1.002
297,North Macedonia,2016,households,Solid fossil fuels,0.911
298,North Macedonia,2017,households,Solid fossil fuels,0.974
299,North Macedonia,2018,households,Solid fossil fuels,0.755
300,North Macedonia,2019,households,Solid fossil fuels,0.61
301,North Macedonia,2020,households,Solid fossil fuels,0.682
302,Malta,2009,households,Solid fossil fuels,0.0
303,Malta,2010,households,Solid fossil fuels,0.0
304,Malta,2011,households,Solid fossil fuels,0.0
305,Malta,2012,households,Solid fossil fuels,0.0
306,Malta,2013,households,Solid fossil fuels,0.0
307,Malta,2014,households,Solid fossil fuels,0.0
308,Malta,2015,households,Solid fossil fuels,0.0
309,Malta,2016,households,Solid fossil fuels,0.0
310,Malta,2017,households,Solid fossil fuels,0.0
311,Malta,2018,households,Solid fossil fuels,0.0
312,Malta,2019,households,Solid fossil fuels,0.0
313,Malta,2020,households,Solid fossil fuels,0.0
314,Netherlands,2009,households,Solid fossil fuels,1.911
315,Netherlands,2010,households,Solid fossil fuels,1.911
316,Netherlands,2011,households,Solid fossil fuels,1.911
317,Netherlands,2012,households,Solid fossil fuels,1.911
318,Netherlands,2013,households,Solid fossil fuels,0.955
319,Netherlands,2014,households,Solid fossil fuels,0.632
320,Netherlands,2015,households,Solid fossil fuels,0.542
321,Netherlands,2016,households,Solid fossil fuels,1.078
322,Netherlands,2017,households,Solid fossil fuels,1.126
323,Netherlands,2018,households,Solid fossil fuels,1.012
324,Netherlands,2019,households,Solid fossil fuels,1.121
325,Netherlands,2020,households,Solid fossil fuels,0.345
326,Norway,2009,households,Solid fossil fuels,0.0
327,Norway,2010,households,Solid fossil fuels,0.0
328,Norway,2011,households,Solid fossil fuels,0.0
329,Norway,2012,households,Solid fossil fuels,0.0
330,Norway,2013,households,Solid fossil fuels,0.0
331,Norway,2014,households,Solid fossil fuels,0.0
332,Norway,2015,households,Solid fossil fuels,0.0
333,Norway,2016,households,Solid fossil fuels,0.0
334,Norway,2017,households,Solid fossil fuels,0.0
335,Norway,2018,households,Solid fossil fuels,0.0
336,Norway,2019,households,Solid fossil fuels,0.0
337,Norway,2020,households,Solid fossil fuels,0.0
338,Poland,2009,households,Solid fossil fuels,6873.362
339,Poland,2010,households,Solid fossil fuels,7886.42
340,Poland,2011,households,Solid fossil fuels,6804.855
341,Poland,2012,households,Solid fossil fuels,7186.406
342,Poland,2013,households,Solid fossil fuels,6919.583
343,Poland,2014,households,Solid fossil fuels,6339.431
344,Poland,2015,households,Solid fossil fuels,6211.262
345,Poland,2016,households,Solid fossil fuels,6585.721
346,Poland,2017,households,Solid fossil fuels,6554.038
347,Poland,2018,households,Solid fossil fuels,6154.371
348,Poland,2019,households,Solid fossil fuels,4978.787
349,Poland,2020,households,Solid fossil fuels,5200.131
350,Portugal,2009,households,Solid fossil fuels,0.0
351,Portugal,2010,households,Solid fossil fuels,0.0
352,Portugal,2011,households,Solid fossil fuels,0.0
353,Portugal,2012,households,Solid fossil fuels,0.0
354,Portugal,2013,households,Solid fossil fuels,0.0
355,Portugal,2014,households,Solid fossil fuels,0.0
356,Portugal,2015,households,Solid fossil fuels,0.0
357,Portugal,2016,households,Solid fossil fuels,0.0
358,Portugal,2017,households,Solid fossil fuels,0.0
359,Portugal,2018,households,Solid fossil fuels,0.0
360,Portugal,2019,households,Solid fossil fuels,0.0
361,Portugal,2020,households,Solid fossil fuels,0.0
362,Romania,2009,households,Solid fossil fuels,13.865
363,Romania,2010,households,Solid fossil fuels,9.768
364,Romania,2011,households,Solid fossil fuels,19.138
365,Romania,2012,households,Solid fossil fuels,27.838
366,Romania,2013,households,Solid fossil fuels,25.348
367,Romania,2014,households,Solid fossil fuels,69.776
368,Romania,2015,households,Solid fossil fuels,80.123
369,Romania,2016,households,Solid fossil fuels,56.401
370,Romania,2017,households,Solid fossil fuels,34.313
371,Romania,2018,households,Solid fossil fuels,33.627
372,Romania,2019,households,Solid fossil fuels,40.69
373,Romania,2020,households,Solid fossil fuels,44.891
374,Serbia,2009,households,Solid fossil fuels,235.109
375,Serbia,2010,households,Solid fossil fuels,231.648
376,Serbia,2011,households,Solid fossil fuels,289.003
377,Serbia,2012,households,Solid fossil fuels,239.598
378,Serbia,2013,households,Solid fossil fuels,204.668
379,Serbia,2014,households,Solid fossil fuels,169.576
380,Serbia,2015,households,Solid fossil fuels,156.119
381,Serbia,2016,households,Solid fossil fuels,215.643
382,Serbia,2017,households,Solid fossil fuels,228.558
383,Serbia,2018,households,Solid fossil fuels,207.614
384,Serbia,2019,households,Solid fossil fuels,209.424
385,Serbia,2020,households,Solid fossil fuels,248.815
386,Sweden,2009,households,Solid fossil fuels,0.0
387,Sweden,2010,households,Solid fossil fuels,0.0
388,Sweden,2011,households,Solid fossil fuels,0.0
389,Sweden,2012,households,Solid fossil fuels,0.0
390,Sweden,2013,households,Solid fossil fuels,0.0
391,Sweden,2014,households,Solid fossil fuels,0.0
392,Sweden,2015,households,Solid fossil fuels,0.0
393,Sweden,2016,households,Solid fossil fuels,0.0
394,Sweden,2017,households,Solid fossil fuels,0.0
395,Sweden,2018,households,Solid fossil fuels,0.0
396,Sweden,2019,households,Solid fossil fuels,0.0
397,Sweden,2020,households,Solid fossil fuels,0.0
398,Slovenia,2009,households,Solid fossil fuels,2.625
399,Slovenia,2010,households,Solid fossil fuels,1.338
400,Slovenia,2011,households,Solid fossil fuels,0.902
401,Slovenia,2012,households,Solid fossil fuels,0.452
402,Slovenia,2013,households,Solid fossil fuels,0.454
403,Slovenia,2014,households,Solid fossil fuels,0.455
404,Slovenia,2015,households,Solid fossil fuels,0.0
405,Slovenia,2016,households,Solid fossil fuels,0.0
406,Slovenia,2017,households,Solid fossil fuels,0.112
407,Slovenia,2018,households,Solid fossil fuels,0.076
408,Slovenia,2019,households,Solid fossil fuels,0.065
409,Slovenia,2020,households,Solid fossil fuels,0.061
410,Slovakia,2009,households,Solid fossil fuels,46.222
411,Slovakia,2010,households,Solid fossil fuels,52.656
412,Slovakia,2011,households,Solid fossil fuels,47.792
413,Slovakia,2012,households,Solid fossil fuels,44.589
414,Slovakia,2013,households,Solid fossil fuels,26.47
415,Slovakia,2014,households,Solid fossil fuels,19.605
416,Slovakia,2015,households,Solid fossil fuels,17.878
417,Slovakia,2016,households,Solid fossil fuels,29.594
418,Slovakia,2017,households,Solid fossil fuels,34.595
419,Slovakia,2018,households,Solid fossil fuels,30.204
420,Slovakia,2019,households,Solid fossil fuels,28.489
421,Slovakia,2020,households,Solid fossil fuels,53.782
422,Turkey,2009,households,Solid fossil fuels,3319.13
423,Turkey,2010,households,Solid fossil fuels,3385.944
424,Turkey,2011,households,Solid fossil fuels,3033.324
425,Turkey,2012,households,Solid fossil fuels,3064.075
426,Turkey,2013,households,Solid fossil fuels,2170.147
427,Turkey,2014,households,Solid fossil fuels,1848.568
428,Turkey,2015,households,Solid fossil fuels,1968.284
429,Turkey,2016,households,Solid fossil fuels,2052.931
430,Turkey,2017,households,Solid fossil fuels,1961.324
431,Turkey,2018,households,Solid fossil fuels,1733.427
432,Turkey,2019,households,Solid fossil fuels,1297.818
433,Turkey,2020,households,Solid fossil fuels,1055.167
434,Ukraine,2009,households,Solid fossil fuels,494.691
435,Ukraine,2010,households,Solid fossil fuels,414.608
436,Ukraine,2011,households,Solid fossil fuels,653.16
437,Ukraine,2012,households,Solid fossil fuels,664.879
438,Ukraine,2013,households,Solid fossil fuels,610.149
439,Ukraine,2014,households,Solid fossil fuels,244.447
440,Ukraine,2015,households,Solid fossil fuels,263.775
441,Ukraine,2016,households,Solid fossil fuels,228.104
442,Ukraine,2017,households,Solid fossil fuels,161.919
443,Ukraine,2018,households,Solid fossil fuels,161.293
444,Ukraine,2019,households,Solid fossil fuels,151.842
445,Ukraine,2020,households,Solid fossil fuels,106.411
446,United Kingdom,2009,households,Solid fossil fuels,674.31
447,United Kingdom,2010,households,Solid fossil fuels,725.505
448,United Kingdom,2011,households,Solid fossil fuels,690.798
449,United Kingdom,2012,households,Solid fossil fuels,655.668
450,United Kingdom,2013,households,Solid fossil fuels,669.634
451,United Kingdom,2014,households,Solid fossil fuels,565.854
452,United Kingdom,2015,households,Solid fossil fuels,553.771
453,United Kingdom,2016,households,Solid fossil fuels,542.257
454,United Kingdom,2017,households,Solid fossil fuels,535.139
455,United Kingdom,2018,households,Solid fossil fuels,500.229
456,United Kingdom,2019,households,Solid fossil fuels,456.219
457,Kosovo,2009,households,Solid fossil fuels,22.175
458,Kosovo,2010,households,Solid fossil fuels,22.175
459,Kosovo,2011,households,Solid fossil fuels,23.585
460,Kosovo,2012,households,Solid fossil fuels,16.212
461,Kosovo,2013,households,Solid fossil fuels,18.262
462,Kosovo,2014,households,Solid fossil fuels,13.976
463,Kosovo,2015,households,Solid fossil fuels,10.063
464,Kosovo,2016,households,Solid fossil fuels,8.758
465,Kosovo,2017,households,Solid fossil fuels,10.145
466,Kosovo,2018,households,Solid fossil fuels,2.506
467,Kosovo,2019,households,Solid fossil fuels,2.518
468,Kosovo,2020,households,Solid fossil fuels,2.842
469,Albania,2009,households,Electricity,223.99
470,Albania,2010,households,Electricity,222.528
471,Albania,2011,households,Electricity,233.19
472,Albania,2012,households,Electricity,262.253
473,Albania,2013,households,Electricity,331.9
474,Albania,2014,households,Electricity,300.946
475,Albania,2015,households,Electricity,274.377
476,Albania,2016,households,Electricity,257.18
477,Albania,2017,households,Electricity,252.325
478,Albania,2018,households,Electricity,270.591
479,Albania,2019,households,Electricity,268.293
480,Albania,2020,households,Electricity,298.287
481,Austria,2009,households,Electricity,1481.794
482,Austria,2010,households,Electricity,1518.271
483,Austria,2011,households,Electricity,1485.266
484,Austria,2012,households,Electricity,1508.282
485,Austria,2013,households,Electricity,1517.555
486,Austria,2014,households,Electricity,1445.877
487,Austria,2015,households,Electricity,1480.249
488,Austria,2016,households,Electricity,1533.864
489,Austria,2017,households,Electricity,1547.568
490,Austria,2018,households,Electricity,1542.786
491,Austria,2019,households,Electricity,1576.659
492,Austria,2020,households,Electricity,1548.252
493,Bosnia and Herzegovina,2014,households,Electricity,395.959
494,Bosnia and Herzegovina,2015,households,Electricity,406.363
495,Bosnia and Herzegovina,2016,households,Electricity,406.965
496,Bosnia and Herzegovina,2017,households,Electricity,408.942
497,Bosnia and Herzegovina,2018,households,Electricity,402.837
498,Bosnia and Herzegovina,2019,households,Electricity,406.363
499,Bosnia and Herzegovina,2020,households,Electricity,412.296
500,Belgium,2009,households,Electricity,1678.917
501,Belgium,2010,households,Electricity,1713.25
502,Belgium,2011,households,Electricity,1655.15
503,Belgium,2012,households,Electricity,1694.712
504,Belgium,2013,households,Electricity,1703.362
505,Belgium,2014,households,Electricity,1628.59
506,Belgium,2015,households,Electricity,1617.627
507,Belgium,2016,households,Electricity,1619.08
508,Belgium,2017,households,Electricity,1591.496
509,Belgium,2018,households,Electricity,1589.278
510,Belgium,2019,households,Electricity,1580.439
511,Belgium,2020,households,Electricity,1599.054
512,Bulgaria,2009,households,Electricity,885.813
513,Bulgaria,2010,households,Electricity,907.911
514,Bulgaria,2011,households,Electricity,938.263
515,Bulgaria,2012,households,Electricity,931.9
516,Bulgaria,2013,households,Electricity,906.019
517,Bulgaria,2014,households,Electricity,910.576
518,Bulgaria,2015,households,Electricity,915.219
519,Bulgaria,2016,households,Electricity,922.872
520,Bulgaria,2017,households,Electricity,957.656
521,Bulgaria,2018,households,Electricity,942.65
522,Bulgaria,2019,households,Electricity,932.407
523,Bulgaria,2020,households,Electricity,976.456
524,Cyprus,2009,households,Electricity,148.065
525,Cyprus,2010,households,Electricity,149.441
526,Cyprus,2011,households,Electricity,148.151
527,Cyprus,2012,households,Electricity,143.852
528,Cyprus,2013,households,Electricity,123.56
529,Cyprus,2014,households,Electricity,122.528
530,Cyprus,2015,households,Electricity,130.267
531,Cyprus,2016,households,Electricity,136.285
532,Cyprus,2017,households,Electricity,143.119
533,Cyprus,2018,households,Electricity,145.166
534,Cyprus,2019,households,Electricity,152.338
535,Cyprus,2020,households,Electricity,155.274
536,Czechia,2009,households,Electricity,1262.855
537,Czechia,2010,households,Electricity,1292.175
538,Czechia,2011,households,Electricity,1220.98
539,Czechia,2012,households,Electricity,1253.74
540,Czechia,2013,households,Electricity,1265.348
541,Czechia,2014,households,Electricity,1214.531
542,Czechia,2015,households,Electricity,1236.629
